C青沥备开喊(谰搁悼),青沥备开喊(谰搁悼),C楷飞喊,楷飞喊,矫痢,醚牢备(疙),醚牢备_巢磊(疙),醚牢备_咯磊(疙),醚牢备_己厚,郴惫牢(疙),郴惫牢_巢磊(疙),郴惫牢_咯磊(疙),郴惫牢_己厚
00,傈惫,000,钦拌,2021,51738071,25850044,25888027,99.9,50088104,24943537,25144567,99.2
00,傈惫,005,0~4技,2021,1570409,805852,764557,105.4,1536204,788406,747798,105.4
00,傈惫,005001, 0技,2021,268270,137541,130729,105.2,262792,134770,128022,105.3
00,傈惫,005002, 1技,2021,283322,145031,138291,104.9,277092,141882,135210,104.9
00,傈惫,005003, 2技,2021,311976,160201,151775,105.6,304854,156542,148312,105.5
00,傈惫,005004, 3技,2021,337520,173319,164201,105.6,330026,169456,160570,105.5
00,傈惫,005005, 4技,2021,369321,189760,179561,105.7,361440,185756,175684,105.7
00,傈惫,010,5~9技,2021,2212372,1133426,1078946,105,2180368,1117345,1063023,105.1
00,傈惫,010001, 5技,2021,419046,214341,204705,104.7,410637,210098,200539,104.8
00,傈惫,010002, 6技,2021,439867,225389,214478,105.1,432708,221771,210937,105.1
00,傈惫,010003, 7技,2021,434619,222501,212118,104.9,428475,219427,209048,105
00,傈惫,010004, 8技,2021,440419,225512,214907,104.9,435089,222868,212221,105
00,傈惫,010005, 9技,2021,478421,245683,232738,105.6,473459,243181,230278,105.6
00,傈惫,015,10~14技,2021,2304690,1186319,1118371,106.1,2286676,1177079,1109597,106.1
00,傈惫,015001, 10技,2021,471455,242245,229210,105.7,467364,240115,227249,105.7
00,傈惫,015002, 11技,2021,453823,234059,219764,106.5,450056,232127,217929,106.5
00,傈惫,015003, 12技,2021,439409,226486,212923,106.4,435880,224698,211182,106.4
00,傈惫,015004, 13技,2021,463980,238586,225394,105.9,460584,236836,223748,105.8
00,傈惫,015005, 14技,2021,476023,244943,231080,106,472792,243303,229489,106
00,傈惫,020,15~19技,2021,2313299,1198911,1114388,107.6,2288333,1187703,1100630,107.9
00,傈惫,020001, 15技,2021,435591,225371,210220,107.2,432771,223951,208820,107.2
00,傈惫,020002, 16技,2021,428825,221765,207060,107.1,426270,220511,205759,107.2
00,傈惫,020003, 17技,2021,467414,242392,225022,107.7,464550,240987,223563,107.8
00,傈惫,020004, 18技,2021,479117,248408,230709,107.7,474133,246245,227888,108.1
00,傈惫,020005, 19技,2021,502352,260975,241377,108.1,490609,256009,234600,109.1
00,傈惫,025,20~24技,2021,3223654,1681183,1542471,109,3066118,1602890,1463228,109.5
00,傈惫,025001, 20技,2021,581562,301949,279613,108,561097,293468,267629,109.7
00,傈惫,025002, 21技,2021,647713,337405,310308,108.7,619365,324609,294756,110.1
00,傈惫,025003, 22技,2021,633711,331828,301883,109.9,602566,316468,286098,110.6
00,傈惫,025004, 23技,2021,666271,347988,318283,109.3,628953,328420,300533,109.3
00,傈惫,025005, 24技,2021,694397,362013,332384,108.9,654137,339925,314212,108.2
00,傈惫,030,25~29技,2021,3663127,1954718,1708409,114.4,3439492,1822691,1616801,112.7
00,傈惫,030001, 25技,2021,716581,379595,336986,112.6,674507,355469,319038,111.4
00,傈惫,030002, 26技,2021,726778,387844,338934,114.4,682692,362162,320530,113
00,傈惫,030003, 27技,2021,735105,394648,340457,115.9,690853,368420,322433,114.3
00,傈惫,030004, 28技,2021,738497,395652,342845,115.4,692657,368233,324424,113.5
