행정구역(시도),행정구역(시군구),연도,총인구수(명),총인구수증감,총인구수증감률,유치원 수,초등학교 수,출생건수,사망건수,혼인건수,이혼건수,순이동,학령인구(명),학령인구증감률,지가 변동률,행정구역
강원특별자치도,강릉시,2013,216806.0,-935.0,-0.429409252,40.0,35.0,1460.0,1471.0,1026.0,528.0,-942.0,40758.0,-1.998124504,1.514,강원특별자치도 강릉시
강원특별자치도,강릉시,2014,215807.0,-999.0,-0.460780606,41.0,35.0,1298.0,1539.0,983.0,473.0,-810.0,39345.0,-3.466804063,1.739,강원특별자치도 강릉시
강원특별자치도,강릉시,2015,214560.0,-1247.0,-0.577831118,44.0,35.0,1402.0,1553.0,977.0,481.0,-1185.0,37605.0,-4.42241708,2.787,강원특별자치도 강릉시
강원특별자치도,강릉시,2016,213846.0,-714.0,-0.332774049,38.0,35.0,1236.0,1545.0,920.0,465.0,-497.0,36113.0,-3.967557506,2.626,강원특별자치도 강릉시
강원특별자치도,강릉시,2017,213952.0,106.0,0.049568381,38.0,35.0,1084.0,1529.0,924.0,444.0,540.0,34780.0,-3.691191538,4.07,강원특별자치도 강릉시
강원특별자치도,강릉시,2018,212957.0,-995.0,-0.465057583,38.0,35.0,1036.0,1678.0,876.0,433.0,-392.0,33550.0,-3.536515239,3.292,강원특별자치도 강릉시
강원특별자치도,강릉시,2019,213442.0,485.0,0.227745507,36.0,34.0,964.0,1720.0,893.0,494.0,1193.0,32513.0,-3.090909091,2.857,강원특별자치도 강릉시
강원특별자치도,강릉시,2020,213321.0,-121.0,-0.056689874,37.0,35.0,950.0,1709.0,801.0,415.0,612.0,30887.0,-5.001076492,2.885,강원특별자치도 강릉시
강원특별자치도,강릉시,2021,213321.0,121.0,0.05572137191289439,37.0,35.0,899.0,1709.0,833.0,473.0,945.0,31088.0,-4.600930614587814,3.0,강원특별자치도 강릉시
강원특별자치도,강릉시,2022,213321.0,-1.0,-0.000618587630284613,37.0,35.0,848.0,1709.0,801.0,434.0,760.0,30887.0,-4.428427644651553,3.0,강원특별자치도 강릉시
강원특별자치도,강릉시,2023,213321.0,60.0,0.027618720973043867,37.0,35.0,798.0,1709.0,833.0,460.0,863.0,31088.0,-4.354061578882548,3.0,강원특별자치도 강릉시
강원특별자치도,강릉시,2024,213321.0,29.0,0.01346632179447289,37.0,35.0,747.0,1709.0,801.0,443.0,805.0,30887.0,-4.322002352655873,3.0,강원특별자치도 강릉시
강원특별자치도,강릉시,2025,213321.0,45.0,0.020559434148884996,37.0,35.0,696.0,1709.0,833.0,455.0,838.0,31087.0,-4.308181613645076,3.0,강원특별자치도 강릉시
강원특별자치도,강릉시,2026,213321.0,37.0,0.01700440137758679,37.0,35.0,645.0,1709.0,801.0,447.0,820.0,30887.0,-4.302223490218953,3.0,강원특별자치도 강릉시
강원특별자치도,강릉시,2027,213321.0,41.0,0.018786166190200095,37.0,35.0,594.0,1709.0,833.0,452.0,830.0,31087.0,-4.299654941986243,3.0,강원특별자치도 강릉시
