행정구역(시도),행정구역(시군구),연도,총인구수(명),유치원 수,초등학교 수,출생건수,사망건수,혼인건수,이혼건수,학령인구(명),행정구역
강원특별자치도,강릉시,2010,218503.0,40.0,35.0,1641.0,1413.0,1071.0,487.0,43102.0,강원특별자치도 강릉시
강원특별자치도,강릉시,2011,217571.0,40.0,35.0,1671.0,1434.0,1140.0,496.0,41960.0,강원특별자치도 강릉시
강원특별자치도,강릉시,2012,217741.0,40.0,35.0,1636.0,1490.0,1107.0,475.0,41589.0,강원특별자치도 강릉시
강원특별자치도,강릉시,2013,216806.0,40.0,35.0,1460.0,1471.0,1026.0,528.0,40758.0,강원특별자치도 강릉시
강원특별자치도,강릉시,2014,215807.0,41.0,35.0,1298.0,1539.0,983.0,473.0,39345.0,강원특별자치도 강릉시
강원특별자치도,강릉시,2015,214560.0,44.0,35.0,1402.0,1553.0,977.0,481.0,37605.0,강원특별자치도 강릉시
강원특별자치도,강릉시,2016,213846.0,38.0,35.0,1236.0,1545.0,920.0,465.0,36113.0,강원특별자치도 강릉시
강원특별자치도,강릉시,2017,213952.0,38.0,35.0,1084.0,1529.0,924.0,444.0,34780.0,강원특별자치도 강릉시
강원특별자치도,강릉시,2018,212957.0,38.0,35.0,1036.0,1678.0,876.0,433.0,33550.0,강원특별자치도 강릉시
강원특별자치도,강릉시,2019,213442.0,36.0,34.0,964.0,1720.0,893.0,494.0,32513.0,강원특별자치도 강릉시
강원특별자치도,강릉시,2020,213321.0,37.0,35.0,950.0,1709.0,801.0,415.0,30887.0,강원특별자치도 강릉시
강원특별자치도,강릉시,2021,212965.0,37.0,35.0,892.0,1710.0,799.0,420.0,29754.0,강원특별자치도 강릉시
강원특별자치도,강릉시,2022,211381.0,37.0,36.0,893.0,2080.0,691.0,405.0,28365.0,강원특별자치도 강릉시
강원특별자치도,강릉시,2023,209819.0,37.0,36.0,825.0,2090.0,700.0,402.0,27031.0,강원특별자치도 강릉시
강원특별자치도,강릉시,2024,208247.0,37.0,37.0,763.0,2150.0,644.0,393.0,25679.0,강원특별자치도 강릉시
강원특별자치도,강릉시,2025,206680.0,37.0,37.0,700.0,2203.0,625.0,387.0,24333.0,강원특별자치도 강릉시
강원특별자치도,강릉시,2026,205110.0,37.0,38.0,637.0,2263.0,585.0,379.0,22985.0,강원특별자치도 강릉시
강원특별자치도,강릉시,2027,203541.0,37.0,38.0,574.0,2320.0,557.0,372.0,21638.0,강원특별자치도 강릉시
강원특별자치도,강릉시,2028,201971.0,37.0,39.0,511.0,2376.0,522.0,365.0,20291.0,강원특별자치도 강릉시
강원특별자치도,강릉시,2029,200401.0,37.0,39.0,448.0,2430.0,491.0,358.0,18944.0,강원특별자치도 강릉시
강원특별자치도,강릉시,2030,198831.0,37.0,40.0,385.0,2484.0,458.0,351.0,17597.0,강원특별자치도 강릉시
강원특별자치도,강릉시,2031,197261.0,37.0,40.0,322.0,2538.0,426.0,344.0,16250.0,강원특별자치도 강릉시
강원특별자치도,강릉시,2032,195691.0,37.0,41.0,259.0,2592.0,393.0,337.0,14903.0,강원특별자치도 강릉시
