연도,총인구수(명),총인구수증감,총인구수증감률,유치원 수,초등학교 수,출생건수,사망건수,혼인건수,이혼건수,순이동,학령인구(명),학령인구증감률,지가 변동률,Type,DataSetID
2013,216806.0,-935.0,-0.429409252,40.0,35.0,1460.0,1471.0,1026.0,528.0,-942.0,40758.0,-1.998124504,1.514,Train,1
2014,215807.0,-999.0,-0.460780606,41.0,35.0,1298.0,1539.0,983.0,473.0,-810.0,39345.0,-3.466804063,1.739,Train,1
2015,214560.0,-1247.0,-0.577831118,44.0,35.0,1402.0,1553.0,977.0,481.0,-1185.0,37605.0,-4.42241708,2.787,Train,1
2016,213846.0,-714.0,-0.332774049,38.0,35.0,1236.0,1545.0,920.0,465.0,-497.0,36113.0,-3.967557506,2.626,Train,1
2017,213952.0,106.0,0.049568381,38.0,35.0,1084.0,1529.0,924.0,444.0,540.0,34780.0,-3.691191538,4.07,Train,1
2018,212957.0,-995.0,-0.465057583,38.0,35.0,1036.0,1678.0,876.0,433.0,-392.0,33550.0,-3.536515239,3.292,Predict,1
2014,215807.0,-999.0,-0.460780606,41.0,35.0,1298.0,1539.0,983.0,473.0,-810.0,39345.0,-3.466804063,1.739,Train,2
2015,214560.0,-1247.0,-0.577831118,44.0,35.0,1402.0,1553.0,977.0,481.0,-1185.0,37605.0,-4.42241708,2.787,Train,2
2016,213846.0,-714.0,-0.332774049,38.0,35.0,1236.0,1545.0,920.0,465.0,-497.0,36113.0,-3.967557506,2.626,Train,2
2017,213952.0,106.0,0.049568381,38.0,35.0,1084.0,1529.0,924.0,444.0,540.0,34780.0,-3.691191538,4.07,Train,2
2018,212957.0,-995.0,-0.465057583,38.0,35.0,1036.0,1678.0,876.0,433.0,-392.0,33550.0,-3.536515239,3.292,Train,2
2019,213442.0,485.0,0.227745507,36.0,34.0,964.0,1720.0,893.0,494.0,1193.0,32513.0,-3.090909091,2.857,Predict,2
2015,214560.0,-1247.0,-0.577831118,44.0,35.0,1402.0,1553.0,977.0,481.0,-1185.0,37605.0,-4.42241708,2.787,Train,3
