행정구역(시도),행정구역(시군구),연도,총인구수(명),유치원 수,초등학교 수,출생건수,사망건수,혼인건수,이혼건수,학령인구(명),총인구수-학령인구(명),행정구역
강원특별자치도,강릉시,2010,218503.0,40.0,35.0,1641.0,1413.0,1071.0,487.0,43102.0,175401.0,강원특별자치도 강릉시
강원특별자치도,강릉시,2011,217571.0,40.0,35.0,1671.0,1434.0,1140.0,496.0,41960.0,175611.0,강원특별자치도 강릉시
강원특별자치도,강릉시,2012,217741.0,40.0,35.0,1636.0,1490.0,1107.0,475.0,41589.0,176152.0,강원특별자치도 강릉시
강원특별자치도,강릉시,2013,216806.0,40.0,35.0,1460.0,1471.0,1026.0,528.0,40758.0,176048.0,강원특별자치도 강릉시
강원특별자치도,강릉시,2014,215807.0,41.0,35.0,1298.0,1539.0,983.0,473.0,39345.0,176462.0,강원특별자치도 강릉시
강원특별자치도,강릉시,2015,214560.0,44.0,35.0,1402.0,1553.0,977.0,481.0,37605.0,176955.0,강원특별자치도 강릉시
강원특별자치도,강릉시,2016,213846.0,38.0,35.0,1236.0,1545.0,920.0,465.0,36113.0,177733.0,강원특별자치도 강릉시
강원특별자치도,강릉시,2017,213952.0,38.0,35.0,1084.0,1529.0,924.0,444.0,34780.0,179172.0,강원특별자치도 강릉시
강원특별자치도,강릉시,2018,212957.0,38.0,35.0,1036.0,1678.0,876.0,433.0,33550.0,179407.0,강원특별자치도 강릉시
강원특별자치도,강릉시,2019,213442.0,36.0,34.0,964.0,1720.0,893.0,494.0,32513.0,180929.0,강원특별자치도 강릉시
강원특별자치도,강릉시,2020,213321.0,37.0,35.0,950.0,1709.0,801.0,415.0,30887.0,182434.0,강원특별자치도 강릉시
강원특별자치도,강릉시,2021,212965.0,37.0,35.0,892.0,1710.0,799.0,420.0,29754.0,183211.0,강원특별자치도 강릉시
강원특별자치도,강릉시,2022,211381.0,37.0,36.0,893.0,2080.0,691.0,405.0,28365.0,183016.0,강원특별자치도 강릉시
강원특별자치도,강릉시,2023,210871.0,37.0,36.0,842.0,2052.0,666.0,416.0,28423.0,183645.0,강원특별자치도 강릉시
강원특별자치도,강릉시,2024,210372.0,37.0,36.0,792.0,2080.0,641.0,412.0,28476.0,184274.0,강원특별자치도 강릉시
강원특별자치도,강릉시,2025,209885.0,37.0,36.0,741.0,2052.0,616.0,413.0,28522.0,184903.0,강원특별자치도 강릉시
강원특별자치도,강릉시,2026,209410.0,37.0,36.0,691.0,2080.0,591.0,413.0,28564.0,185532.0,강원특별자치도 강릉시
강원특별자치도,강릉시,2027,208945.0,37.0,36.0,640.0,2052.0,567.0,413.0,28602.0,186161.0,강원특별자치도 강릉시
강원특별자치도,강릉시,2028,208491.0,37.0,36.0,590.0,2080.0,542.0,413.0,28635.0,186790.0,강원특별자치도 강릉시
강원특별자치도,강릉시,2029,208048.0,37.0,36.0,539.0,2052.0,517.0,413.0,28665.0,187418.0,강원특별자치도 강릉시
강원특별자치도,강릉시,2030,207614.0,37.0,36.0,489.0,2080.0,493.0,413.0,28692.0,188047.0,강원특별자치도 강릉시
