행정구역(시도),행정구역(시군구),연도,총인구수(명),총인구수증감,총인구수증감률,유치원 수,초등학교 수,출생건수,사망건수,혼인건수,이혼건수,순이동,학령인구(명),학령인구증감률,지가 변동률
서울특별시,종로구,2013,160070.0,-5137.0,-3.109432409,17.0,14.0,873.0,840.0,877.0,348.0,-5331.0,25113.0,-5.76381853,1.201
서울특별시,중구,2013,130465.0,-2895.0,-44.0095617,13.0,12.0,1022.0,685.0,860.0,320.0,-3317.0,17356.0,-5.318858764,0.604
서울특별시,용산구,2013,239740.0,-3492.0,-1.43566636,17.0,15.0,2129.0,1058.0,1795.0,450.0,-4688.0,34734.0,-3.180487805,-2.113
서울특별시,성동구,2013,299337.0,-267.0,-0.089117635,29.0,20.0,2838.0,1294.0,2432.0,613.0,-1957.0,46055.0,-3.052310283,0.277
서울특별시,광진구,2013,368927.0,-2386.0,-0.642584558,38.0,22.0,2990.0,1331.0,2685.0,743.0,-4362.0,60341.0,-4.156739414,0.454
서울특별시,동대문구,2013,364273.0,1015.0,0.279415732,32.0,21.0,2651.0,1805.0,2327.0,740.0,-18.0,55157.0,-2.755641749,0.54
서울특별시,중랑구,2013,416798.0,-2497.0,-0.595523438,31.0,22.0,3265.0,2025.0,2813.0,1040.0,-3862.0,66226.0,-4.599605295,0.458
서울특별시,성북구,2013,476589.0,-5268.0,-1.09327041,55.0,29.0,3831.0,2171.0,2809.0,934.0,-7181.0,78474.0,-2.913558253,0.182
서울특별시,강북구,2013,338707.0,-4450.0,-1.296782522,23.0,14.0,2491.0,1712.0,1975.0,848.0,-5375.0,52743.0,-4.002402534,0.476
서울특별시,도봉구,2013,358582.0,-3688.0,-1.01802523,31.0,23.0,2530.0,1711.0,2062.0,801.0,-4663.0,62434.0,-4.04217386,0.216
서울특별시,노원구,2013,590479.0,-6710.0,-1.123597387,70.0,42.0,4668.0,2531.0,3432.0,1075.0,-9098.0,118454.0,-4.004992058,0.357
서울특별시,은평구,2013,503660.0,2180.0,0.434713249,49.0,31.0,4157.0,2325.0,3277.0,1073.0,116.0,84399.0,-2.413107324,0.779
서울특별시,서대문구,2013,314110.0,-1003.0,-0.318298515,26.0,18.0,2358.0,1466.0,1974.0,612.0,-2023.0,50389.0,-3.694430641,0.537
서울특별시,마포구,2013,381856.0,-2788.0,-0.724826073,29.0,22.0,3320.0,1514.0,2986.0,718.0,-4804.0,59499.0,-2.577243626,0.962
서울특별시,양천구,2013,492528.0,-3383.0,-0.682178859,48.0,30.0,3547.0,1813.0,2644.0,910.0,-5500.0,103289.0,-3.488067874,0.845
서울특별시,강서구,2013,569070.0,1639.0,764.76917,45.0,36.0,5224.0,2429.0,4331.0,1181.0,-1544.0,94391.0,-3.612821534,1.14
서울특별시,구로구,2013,424964.0,-2556.0,-0.597866766,35.0,24.0,4468.0,1665.0,3357.0,883.0,-5807.0,65498.0,-2.757033628,0.651
서울특별시,금천구,2013,241020.0,-2268.0,-0.93222847,19.0,18.0,1739.0,1088.0,1594.0,623.0,-3208.0,37205.0,-5.077178212,0.934
서울특별시,영등포구,2013,386471.0,-4937.0,-1.261343662,41.0,23.0,3448.0,1631.0,3086.0,817.0,-7435.0,56435.0,-4.863452461,0.594
서울특별시,동작구,2013,410815.0,5324.0,1.31297612,31.0,21.0,3712.0,1603.0,3130.0,658.0,3039.0,61976.0,-1.517535078,0.657
서울특별시,관악구,2013,518028.0,-5001.0,-0.956161131,36.0,22.0,4140.0,2032.0,4183.0,1089.0,-7515.0,69798.0,-3.982501754,0.81
서울특별시,서초구,2013,441763.0,6719.0,1.544441482,26.0,24.0,4081.0,1385.0,2988.0,633.0,3588.0,80777.0,-0.366331993,1.816
서울특별시,강남구,2013,563599.0,-598.0,-0.105991347,38.0,31.0,4551.0,1828.0,3591.0,884.0,-3764.0,104852.0,-2.00106549,2.619
서울특별시,송파구,2013,668415.0,-4700.0,-0.698246213,51.0,37.0,5963.0,2168.0,4445.0,1140.0,-8902.0,120481.0,-3.561966205,3.009
서울특별시,강동구,2013,483379.0,-4526.0,-0.927639602,39.0,26.0,4070.0,1953.0,3166.0,993.0,-6939.0,83512.0,-4.176610979,1.59
부산광역시,중구,2013,47345.0,-803.0,-63.71057372,2.0,5.0,266.0,349.0,305.0,142.0,-725.0,5917.0,-4.595291841,1.577
부산광역시,서구,2013,118783.0,-2045.0,-76.07655791,10.0,11.0,584.0,923.0,655.0,281.0,-1726.0,17280.0,-5.211190346,1.114
부산광역시,동구,2013,96011.0,-2518.0,-45.28633056,10.0,8.0,552.0,811.0,506.0,246.0,-2337.0,12831.0,-5.689084895,1.435
부산광역시,영도구,2013,135816.0,-3949.0,-2.825457017,15.0,14.0,684.0,1092.0,698.0,326.0,-3588.0,19696.0,-6.155898609,1.25
부산광역시,부산진구,2013,389765.0,-2966.0,-0.755224314,47.0,32.0,3070.0,2349.0,2621.0,786.0,-3794.0,59212.0,-4.291463947,1.828
부산광역시,동래구,2013,276689.0,-2078.0,-0.745425391,30.0,22.0,1775.0,1407.0,1426.0,532.0,-2509.0,49063.0,-3.385057698,1.624
부산광역시,남구,2013,291770.0,595.0,16.0423809,23.0,20.0,2051.0,1593.0,1542.0,555.0,77.0,48882.0,-2.012588702,1.975
부산광역시,북구,2013,309719.0,-3218.0,15.79189394,32.0,27.0,2405.0,1492.0,1893.0,622.0,-4160.0,58648.0,-4.906443558,1.274
부산광역시,해운대구,2013,425536.0,-2652.0,-0.619354115,39.0,33.0,3148.0,2006.0,2212.0,850.0,-3914.0,82002.0,-3.438449401,1.477
부산광역시,사하구,2013,349110.0,-3616.0,-1.025158338,41.0,27.0,2851.0,1853.0,2232.0,786.0,-4742.0,61032.0,-4.504701851,0.857
