,행정구역(시도),행정구역(시군구),연도,총인구수(명),유치원 수,초등학교 수,출생건수,사망건수,혼인건수,이혼건수,학령인구(명),총인구수-학령인구(명),행정구역
0,서울특별시,종로구,2010,170578,17,14,1107,852,1011,396,29164,141414,서울특별시 종로구
1,서울특별시,중구,2010,132822,13,12,1170,671,1049,378,19628,113194,서울특별시 중구
2,서울특별시,용산구,2010,244853,19,15,2312,1086,1784,528,37318,207535,서울특별시 용산구
3,서울특별시,성동구,2010,309093,31,20,2886,1226,2306,672,51562,257531,서울특별시 성동구
4,서울특별시,광진구,2010,375463,42,22,3366,1290,2672,811,67422,308041,서울특별시 광진구
5,서울특별시,동대문구,2010,366786,36,21,2880,1742,2302,907,60098,306688,서울특별시 동대문구
6,서울특별시,중랑구,2010,427455,33,22,3570,1837,2694,1150,75870,351585,서울특별시 중랑구
7,서울특별시,성북구,2010,488932,55,29,4409,2018,3212,987,84496,404436,서울특별시 성북구
8,서울특별시,강북구,2010,346520,23,14,2801,1636,2142,882,58175,288345,서울특별시 강북구
9,서울특별시,도봉구,2010,368298,29,23,3158,1550,2110,852,70786,297512,서울특별시 도봉구
10,서울특별시,노원구,2010,611230,71,42,5298,2587,3511,1190,131935,479295,서울특별시 노원구
11,서울특별시,은평구,2010,488109,45,29,4095,2107,3009,1103,88442,399667,서울특별시 은평구
12,서울특별시,서대문구,2010,324541,26,18,2713,1397,1995,660,55987,268554,서울특별시 서대문구
13,서울특별시,마포구,2010,391865,32,21,3824,1476,3114,772,63925,327940,서울특별시 마포구
14,서울특별시,양천구,2010,500001,48,29,3678,1700,2553,981,113428,386573,서울특별시 양천구
15,서울특별시,강서구,2010,574127,47,36,5720,2330,4247,1261,105485,468642,서울특별시 강서구
16,서울특별시,구로구,2010,423736,32,23,4770,1607,3472,923,70612,353124,서울특별시 구로구
17,서울특별시,금천구,2010,245195,17,18,2002,1022,1705,687,42806,202389,서울특별시 금천구
18,서울특별시,영등포구,2010,406833,42,23,4288,1640,3283,918,65287,341546,서울특별시 영등포구
19,서울특별시,동작구,2010,402709,31,20,3846,1489,2999,696,65825,336884,서울특별시 동작구
20,서울특별시,관악구,2010,531434,37,22,4738,1989,4365,1086,77938,453496,서울특별시 관악구
21,서울특별시,서초구,2010,434720,23,22,4403,1274,3004,719,83618,351102,서울특별시 서초구
22,서울특별시,강남구,2010,570095,33,30,4836,1641,3636,976,113377,456718,서울특별시 강남구
23,서울특별시,송파구,2010,685279,47,37,6750,2206,4818,1234,133701,551578,서울특별시 송파구
24,서울특별시,강동구,2010,491871,37,25,4646,1757,3473,999,93125,398746,서울특별시 강동구
25,부산광역시,중구,2010,49442,2,5,355,380,293,146,6794,42648,부산광역시 중구
26,부산광역시,서구,2010,62594,16,17,609,459,449,142,20179,53174,부산광역시 서구
27,부산광역시,동구,2010,101514,10,8,627,838,523,262,15042,86472,부산광역시 동구
28,부산광역시,영도구,2010,146798,16,14,894,1143,800,390,23487,123311,부산광역시 영도구
29,부산광역시,부산진구,2010,395826,45,32,3270,2293,2389,796,66621,329205,부산광역시 부산진구
30,부산광역시,동래구,2010,282779,28,22,2011,1372,1390,553,54555,228224,부산광역시 동래구
31,부산광역시,남구,2010,298458,22,20,2436,1590,1592,611,53215,245243,부산광역시 남구
32,부산광역시,북구,2010,312218,31,26,2367,1450,1701,639,66336,245882,부산광역시 북구
33,부산광역시,해운대구,2010,426729,37,32,3368,1970,2297,883,89183,337546,부산광역시 해운대구
34,부산광역시,사하구,2010,358730,42,27,3053,1837,2272,794,69512,289218,부산광역시 사하구
35,부산광역시,금정구,2010,255419,26,21,1632,1448,1191,445,47905,207514,부산광역시 금정구
36,부산광역시,강서구,2010,62594,16,17,609,459,449,142,9420,53174,부산광역시 강서구
37,부산광역시,연제구,2010,212696,15,16,1635,1084,1235,422,37948,174748,부산광역시 연제구
38,부산광역시,수영구,2010,178267,22,10,1264,1000,954,368,29548,148719,부산광역시 수영구
39,부산광역시,사상구,2010,257843,30,21,2186,1334,1693,614,48525,209318,부산광역시 사상구
40,부산광역시,기장군,2010,102557,19,16,1077,625,749,259,18728,83829,부산광역시 기장군
41,대구광역시,중구,2010,77857,13,10,527,540,446,199,11165,66692,대구광역시 중구
42,대구광역시,서구,2010,607083,74,51,5404,2400,3366,1116,40098,467710,대구광역시 서구
43,대구광역시,북구,2010,452505,68,38,4281,1940,2483,909,100292,352213,대구광역시 북구
44,대구광역시,수성구,2010,461988,43,33,2797,1930,1768,709,114551,347437,대구광역시 수성구
45,대구광역시,달서구,2010,607083,74,51,5404,2400,3366,1116,139373,467710,대구광역시 달서구
46,대구광역시,달성군,2010,178899,36,25,2098,967,1124,386,37245,141654,대구광역시 달성군
47,인천광역시,중구,2010,92890,13,12,897,578,658,318,15436,77454,인천광역시 중구
48,인천광역시,동구,2010,473423,68,33,4653,1877,3088,1288,13286,374058,인천광역시 동구
49,인천광역시,연수구,2010,279230,33,20,2310,1029,1513,611,68263,210967,인천광역시 연수구
50,인천광역시,남동구,2010,473423,68,33,4653,1877,3088,1288,99365,374058,인천광역시 남동구
51,인천광역시,부평구,2010,567493,69,42,5331,2388,3545,1486,118245,449248,인천광역시 부평구
52,인천광역시,계양구,2010,347810,39,26,3396,1233,2208,926,80106,267704,인천광역시 계양구
53,인천광역시,서구,2010,408068,70,35,4045,1514,2542,1078,94084,313984,인천광역시 서구
54,인천광역시,강화군,2010,67104,25,22,353,717,302,117,9950,57154,인천광역시 강화군
55,인천광역시,옹진군,2010,18739,11,6,152,149,120,46,2371,16368,인천광역시 옹진군
56,광주광역시,동구,2010,104449,15,11,655,717,540,248,17967,86482,광주광역시 동구
57,광주광역시,서구,2010,303219,52,27,2714,1254,1752,630,73185,230034,광주광역시 서구
58,광주광역시,남구,2010,216863,36,21,1724,1167,1150,414,48288,168575,광주광역시 남구
59,광주광역시,북구,2010,466866,81,45,4317,2035,2599,966,107857,359009,광주광역시 북구
60,광주광역시,광산구,2010,363239,64,41,4569,1359,2525,744,94013,269226,광주광역시 광산구
61,대전광역시,동구,2010,248835,38,23,2312,1385,1630,613,45875,202960,대전광역시 동구
62,대전광역시,중구,2010,265846,39,27,2280,1398,1596,637,52699,213147,대전광역시 중구
63,대전광역시,서구,2010,499742,72,36,4600,1750,3081,961,117219,382523,대전광역시 서구
