C青沥备开喊(谰搁悼),青沥备开喊(谰搁悼),C楷飞喊,楷飞喊,矫痢,醚牢备(疙),醚牢备_巢磊(疙),醚牢备_咯磊(疙),醚牢备_己厚,郴惫牢(疙),郴惫牢_巢磊(疙),郴惫牢_咯磊(疙),郴惫牢_己厚
00,傈惫,000,钦拌,2018,51629512,25877195,25752317,100.5,49977951,24931554,25046397,99.5
00,傈惫,005,0~4技,2018,2000217,1025394,974823,105.2,1967942,1008953,958989,105.2
00,傈惫,005001, 0技,2018,336309,172776,163533,105.7,329921,169468,160453,105.6
00,傈惫,005002, 1技,2018,369138,189708,179430,105.7,361937,186079,175858,105.8
00,傈惫,005003, 2技,2018,418971,214333,204638,104.7,411683,210583,201100,104.7
00,傈惫,005004, 3技,2018,440155,225606,214549,105.2,434236,222586,211650,105.2
00,傈惫,005005, 4技,2018,435644,222971,212673,104.8,430165,220237,209928,104.9
00,傈惫,010,5~9技,2018,2279824,1172145,1107679,105.8,2261032,1162616,1098416,105.8
00,傈惫,010001, 5技,2018,440871,225721,215150,104.9,436187,223400,212787,105
00,傈惫,010002, 6技,2018,478358,245688,232670,105.6,474034,243505,230529,105.6
00,傈惫,010003, 7技,2018,470894,241877,229017,105.6,467352,240043,227309,105.6
00,傈惫,010004, 8技,2018,451932,233145,218787,106.6,448756,231500,217256,106.6
00,傈惫,010005, 9技,2018,437769,225714,212055,106.4,434703,224168,210535,106.5
00,傈惫,015,10~14技,2018,2262767,1169008,1093759,106.9,2250907,1163024,1087883,106.9
00,傈惫,015001, 10技,2018,461694,237471,224223,105.9,458823,236004,222819,105.9
00,傈惫,015002, 11技,2018,472725,243371,229354,106.1,470099,242080,228019,106.2
00,傈惫,015003, 12技,2018,434119,224749,209370,107.3,431891,223638,208253,107.4
00,傈惫,015004, 13技,2018,427807,221431,206376,107.3,425810,220395,205415,107.3
00,傈惫,015005, 14技,2018,466422,241986,224436,107.8,464284,240907,223377,107.8
00,傈惫,020,15~19技,2018,2772966,1445280,1327686,108.9,2735274,1427114,1308160,109.1
00,傈惫,020001, 15技,2018,475000,246840,228160,108.2,473198,245943,227255,108.2
00,傈惫,020002, 16技,2018,490347,255744,234603,109,488182,254640,233542,109
00,傈惫,020003, 17技,2018,562714,293260,269454,108.8,559399,291599,267800,108.9
00,傈惫,020004, 18技,2018,625687,326004,299683,108.8,616562,321695,294867,109.1
00,傈惫,020005, 19技,2018,619218,323432,295786,109.3,597933,313237,284696,110
00,傈惫,025,20~24技,2018,3484744,1851798,1632946,113.4,3290233,1744884,1545349,112.9
00,傈惫,025001, 20技,2018,653549,342147,311402,109.9,622183,327056,295127,110.8
00,傈惫,025002, 21技,2018,679469,357335,322134,110.9,645242,339737,305505,111.2
00,傈惫,025003, 22技,2018,704618,375902,328716,114.4,665618,354359,311259,113.8
00,傈惫,025004, 23技,2018,718178,384301,333877,115.1,674344,359158,315186,114
00,傈惫,025005, 24技,2018,728930,392113,336817,116.4,682846,364574,318272,114.5
00,傈惫,030,25~29技,2018,3520222,1884327,1635895,115.2,3259284,1721877,1537407,112
00,傈惫,030001, 25技,2018,734460,394855,339605,116.3,685587,364865,320722,113.8
00,傈惫,030002, 26技,2018,744183,397972,346211,115,693403,366177,327226,111.9
00,傈惫,030003, 27技,2018,703979,375497,328482,114.3,652580,343398,309182,111.1
00,傈惫,030004, 28技,2018,677808,363139,314669,115.4,622273,328553,293720,111.9
00,傈惫,030005, 29技,2018,659792,352864,306928,115,605441,318884,286557,111.3
00,傈惫,035,30~34技,2018,3339755,1755850,1583905,110.9,3080835,1592897,1487938,107.1
00,傈惫,035001, 30技,2018,648332,343313,305019,112.6,593192,309070,284122,108.8
00,傈惫,035002, 31技,2018,653907,343034,310873,110.3,598043,307984,290059,106.2
00,傈惫,035003, 32技,2018,663383,350031,313352,111.7,610686,316958,293728,107.9
00,傈惫,035004, 33技,2018,671141,352361,318780,110.5,622039,321207,300832,106.8
00,傈惫,035005, 34技,2018,702992,367111,335881,109.3,656875,337678,319197,105.8
00,傈惫,040,35~39技,2018,4106922,2120795,1986127,106.8,3915428,1999417,1916011,104.4
00,傈惫,040001, 35技,2018,770865,399896,370969,107.8,727541,372287,355254,104.8
00,傈惫,040002, 36技,2018,837148,432324,404824,106.8,794470,405326,389144,104.2
00,傈惫,040003, 37技,2018,836695,435085,401610,108.3,800141,411868,388273,106.1
00,傈惫,040004, 38技,2018,853119,438088,415031,105.6,818300,416069,402231,103.4
00,傈惫,040005, 39技,2018,809095,415402,393693,105.5,774976,393867,381109,103.3
00,傈惫,045,40~44技,2018,3910064,2001842,1908222,104.9,3775918,1920059,1855859,103.5
00,傈惫,045001, 40技,2018,741888,381899,359989,106.1,711403,362863,348540,104.1
00,傈惫,045002, 41技,2018,764489,390726,373763,104.5,737224,373840,363384,102.9
00,傈惫,045003, 42技,2018,752657,387694,364963,106.2,726057,371358,354699,104.7
00,傈惫,045004, 43技,2018,789646,401560,388086,103.5,764853,386784,378069,102.3
00,傈惫,045005, 44技,2018,861384,439963,421421,104.4,836381,425214,411167,103.4
00,傈惫,050,45~49技,2018,4498819,2282577,2216242,103,4362254,2206233,2156021,102.3
00,傈惫,050001, 45技,2018,873375,441289,432086,102.1,847343,426155,421188,101.2
00,傈惫,050002, 46技,2018,876517,449675,426842,105.3,849149,433925,415224,104.5
00,傈惫,050003, 47技,2018,933243,475047,458196,103.7,904989,459250,445739,103
00,傈惫,050004, 48技,2018,902320,457112,445208,102.7,873919,441585,432334,102.1
00,傈惫,050005, 49技,2018,913364,459454,453910,101.2,886854,445318,441536,100.9
00,傈惫,055,50~54技,2018,4196221,2109486,2086735,101.1,4071272,2044989,2026283,100.9
00,傈惫,055001, 50技,2018,910750,454211,456539,99.5,884433,440211,444222,99.1
00,傈惫,055002, 51技,2018,833488,414126,419362,98.8,811297,402608,408689,98.5
00,傈惫,055003, 52技,2018,819368,419804,399564,105.1,795158,407405,387753,105.1
00,傈惫,055004, 53技,2018,841868,421497,420371,100.3,815504,408030,407474,100.1
00,傈惫,055005, 54技,2018,790747,399848,390899,102.3,764880,386735,378145,102.3
00,傈惫,060,55~59技,2018,4319504,2154401,2165103,99.5,4212132,2101462,2110670,99.6
00,傈惫,060001, 55技,2018,835267,423692,411575,102.9,805133,408660,396473,103.1
00,傈惫,060002, 56技,2018,855705,433073,422632,102.5,832496,421615,410881,102.6
00,傈惫,060003, 57技,2018,913387,452328,461059,98.1,898061,444988,453073,98.2
00,傈惫,060004, 58技,2018,906039,445400,460639,96.7,884286,434639,449647,96.7
00,傈惫,060005, 59技,2018,809106,399908,409198,97.7,792156,391560,400596,97.7
00,傈惫,065,60~64技,2018,3482338,1715950,1766388,97.1,3401325,1675784,1725541,97.1
00,傈惫,065001, 60技,2018,764368,381532,382836,99.7,745621,372273,373348,99.7
00,傈惫,065002, 61技,2018,747566,371086,376480,98.6,728695,361598,367097,98.5
00,傈惫,065003, 62技,2018,685928,338265,347663,97.3,670283,330542,339741,97.3
00,傈惫,065004, 63技,2018,696867,337404,359463,93.9,682000,329984,352016,93.7
00,傈惫,065005, 64技,2018,587609,287663,299946,95.9,574726,281387,293339,95.9
00,傈惫,070,65~69技,2018,2372155,1139381,1232774,92.4,2335461,1121855,1213606,92.4
00,傈惫,070001, 65技,2018,513280,247945,265335,93.4,502966,242866,260100,93.4
00,傈惫,070002, 66技,2018,556456,268951,287505,93.5,547824,264794,283030,93.6
00,傈惫,070003, 67技,2018,412281,197895,214386,92.3,405261,194569,210692,92.3
00,傈惫,070004, 68技,2018,442523,211536,230987,91.6,436806,208880,227926,91.6
00,傈惫,070005, 69技,2018,447615,213054,234561,90.8,442604,210746,231858,90.9
00,傈惫,075,70~74技,2018,1829392,844189,985203,85.7,1817370,839242,978128,85.8
00,傈惫,075001, 70技,2018,433583,205717,227866,90.3,430245,204256,225989,90.4
00,傈惫,075002, 71技,2018,428328,199351,228977,87.1,425349,198083,227266,87.2
00,傈惫,075003, 72技,2018,323755,150983,172772,87.4,321418,150049,171369,87.6
00,傈惫,075004, 73技,2018,319312,144988,174324,83.2,317547,144295,173252,83.3
00,傈惫,075005, 74技,2018,324414,143150,181264,79,322811,142559,180252,79.1
00,傈惫,080,75~79技,2018,1585750,666909,918841,72.6,1579289,664879,914410,72.7
00,傈惫,080001, 75技,2018,333309,145515,187794,77.5,331869,145019,186850,77.6
00,傈惫,080002, 76技,2018,385796,166734,219062,76.1,384427,166281,218146,76.2
00,傈惫,080003, 77技,2018,309398,130092,179306,72.6,308062,129671,178391,72.7
00,傈惫,080004, 78技,2018,280801,114234,166567,68.6,279585,113872,165713,68.7
00,傈惫,080005, 79技,2018,276446,110334,166112,66.4,275346,110036,165310,66.6
00,傈惫,085,80~84技,2018,1005673,363891,641782,56.7,1001715,362776,638939,56.8
00,傈惫,085001, 80技,2018,245095,94757,150338,63,244007,94456,149551,63.2
