연도,행정구역,학령인구(명)
2021,강원특별자치도 강릉시,28589.0
2022,강원특별자치도 강릉시,27534.0
2023,강원특별자치도 강릉시,26383.0
2024,강원특별자치도 강릉시,25201.0
2025,강원특별자치도 강릉시,24187.0
2026,강원특별자치도 강릉시,23957.0
2027,강원특별자치도 강릉시,23763.0
2028,강원특별자치도 강릉시,23594.0
2029,강원특별자치도 강릉시,23342.0
2030,강원특별자치도 강릉시,23288.0
2021,강원특별자치도 고성군,2496.0
2022,강원특별자치도 고성군,2422.0
2023,강원특별자치도 고성군,2361.0
2024,강원특별자치도 고성군,2310.0
2025,강원특별자치도 고성군,2192.0
2026,강원특별자치도 고성군,2170.0
2027,강원특별자치도 고성군,2137.0
2028,강원특별자치도 고성군,2121.0
2029,강원특별자치도 고성군,2104.0
2030,강원특별자치도 고성군,2092.0
2021,강원특별자치도 동해시,12693.0
2022,강원특별자치도 동해시,12306.0
2023,강원특별자치도 동해시,11980.0
2024,강원특별자치도 동해시,11578.0
2025,강원특별자치도 동해시,11289.0
2026,강원특별자치도 동해시,11445.0
2027,강원특별자치도 동해시,11430.0
2028,강원특별자치도 동해시,11554.0
2029,강원특별자치도 동해시,11599.0
2030,강원특별자치도 동해시,11692.0
2021,강원특별자치도 삼척시,8538.0
2022,강원특별자치도 삼척시,8095.0
2023,강원특별자치도 삼척시,7638.0
2024,강원특별자치도 삼척시,7229.0
2025,강원특별자치도 삼척시,6895.0
2026,강원특별자치도 삼척시,6727.0
2027,강원특별자치도 삼척시,6586.0
2028,강원특별자치도 삼척시,6545.0
2029,강원특별자치도 삼척시,6402.0
2030,강원특별자치도 삼척시,6386.0
2021,강원특별자치도 속초시,10312.0
2022,강원특별자치도 속초시,10010.0
2023,강원특별자치도 속초시,9682.0
2024,강원특별자치도 속초시,9407.0
2025,강원특별자치도 속초시,9078.0
2026,강원특별자치도 속초시,8984.0
2027,강원특별자치도 속초시,8910.0
2028,강원특별자치도 속초시,8858.0
2029,강원특별자치도 속초시,8822.0
2030,강원특별자치도 속초시,8797.0
2021,강원특별자치도 양구군,3089.0
2022,강원특별자치도 양구군,2988.0
2023,강원특별자치도 양구군,2908.0
2024,강원특별자치도 양구군,2738.0
2025,강원특별자치도 양구군,2565.0
2026,강원특별자치도 양구군,2517.0
2027,강원특별자치도 양구군,2463.0
2028,강원특별자치도 양구군,2417.0
2029,강원특별자치도 양구군,2379.0
2030,강원특별자치도 양구군,2347.0
2021,강원특별자치도 양양군,3142.0
2022,강원특별자치도 양양군,3013.0
2023,강원특별자치도 양양군,2925.0
2024,강원특별자치도 양양군,2765.0
2025,강원특별자치도 양양군,2488.0
2026,강원특별자치도 양양군,2319.0
2027,강원특별자치도 양양군,2157.0
2028,강원특별자치도 양양군,2010.0
2029,강원특별자치도 양양군,1869.0
2030,강원특별자치도 양양군,1737.0
2021,강원특별자치도 영월군,4617.0
2022,강원특별자치도 영월군,4336.0
2023,강원특별자치도 영월군,4181.0
2024,강원특별자치도 영월군,3848.0
2025,강원특별자치도 영월군,3437.0
2026,강원특별자치도 영월군,3238.0
2027,강원특별자치도 영월군,3105.0
2028,강원특별자치도 영월군,2960.0
2029,강원특별자치도 영월군,2827.0
2030,강원특별자치도 영월군,2695.0
2021,강원특별자치도 원주시,55848.0
2022,강원특별자치도 원주시,54675.0
2023,강원특별자치도 원주시,54041.0
2024,강원특별자치도 원주시,52782.0
2025,강원특별자치도 원주시,51523.0
2026,강원특별자치도 원주시,51081.0
2027,강원특별자치도 원주시,50590.0
2028,강원특별자치도 원주시,50201.0
2029,강원특별자치도 원주시,50025.0
2030,강원특별자치도 원주시,49661.0
2021,강원특별자치도 인제군,3962.0
2022,강원특별자치도 인제군,3900.0
2023,강원특별자치도 인제군,3922.0
2024,강원특별자치도 인제군,3777.0
2025,강원특별자치도 인제군,3448.0
2026,강원특별자치도 인제군,3303.0
2027,강원특별자치도 인제군,3241.0
2028,강원특별자치도 인제군,3173.0
2029,강원특별자치도 인제군,3110.0
2030,강원특별자치도 인제군,3051.0
2021,강원특별자치도 정선군,4107.0
2022,강원특별자치도 정선군,3988.0
2023,강원특별자치도 정선군,3731.0
2024,강원특별자치도 정선군,3361.0
2025,강원특별자치도 정선군,3013.0
2026,강원특별자치도 정선군,2864.0
2027,강원특별자치도 정선군,2696.0
2028,강원특별자치도 정선군,2536.0
2029,강원특별자치도 정선군,2371.0
2030,강원특별자치도 정선군,2210.0
2021,강원특별자치도 철원군,6668.0
