행정구역(시도),행정구역(시군구),연도,총인구수(명),총인구수증감,총인구수증감률,유치원 수,초등학교 수,실업률,거주지내 통근 취업자 (천명),거주지외 타지역 통근 취업자 (천명),GRDP(단위:백만원),지가 변동률,여성 취업자(단위:천명),출생건수,사망건수,혼인건수,이혼건수,총전입,총전출,순이동,학령인구(명),학령인구증감률
서울특별시,종로구,2000,186378,-212,-0.113618093,22,14,,,,,,,,,,,,,,,
서울특별시,중구,2000,141010,14756,-38.70356364,14,12,,,,,,,,,,,,,,,
서울특별시,용산구,2000,240087,2598,1.093945404,25,15,,,,,,,,,,,,,,,
서울특별시,성동구,2000,340790,1615,0.476155377,48,15,,,,,,,,,,,,,,,
서울특별시,광진구,2000,391309,1248,0.319949957,69,20,,,,,,,,,,,,,,,
서울특별시,동대문구,2000,380444,13419,3.656154213,54,20,,,,,,,,,,,,,,,
서울특별시,중랑구,2000,458440,-3297,-0.714042843,71,21,,,,,,,,,,,,,,,
서울특별시,성북구,2000,460862,-12067,-2.551545792,54,24,,,,,,,,,,,,,,,
서울특별시,강북구,2000,351995,-147,-0.0417445235,38,12,,,,,,,,,,,,,,,
서울특별시,도봉구,2000,370976,-4299,-1.145559923,49,21,,,,,,,,,,,,,,,
서울특별시,노원구,2000,632634,15134,2.450850202,88,40,,,,,,,,,,,,,,,
서울특별시,은평구,2000,469417,-3047,-0.644916861,50,23,,,,,,,,,,,,,,,
서울특별시,서대문구,2000,367380,1597,0.436597655,35,18,,,,,,,,,,,,,,,
서울특별시,마포구,2000,387308,2194,0.569701439,36,20,,,,,,,,,,,,,,,
서울특별시,양천구,2000,486781,6468,1.34662189,57,25,,,,,,,,,,,,,,,
서울특별시,강서구,2000,521231,1445,711.0272608,57,32,,,,,,,,,,,,,,,
서울특별시,구로구,2000,403097,7803,1.973973802,35,20,,,,,,,,,,,,,,,
서울특별시,금천구,2000,266431,-2198,-0.818228858,26,16,,,,,,,,,,,,,,,
서울특별시,영등포구,2000,406510,2204,0.545131658,49,20,,,,,,,,,,,,,,,
서울특별시,동작구,2000,415892,-3269,-0.779891259,39,18,,,,,,,,,,,,,,,
서울특별시,관악구,2000,524404,6852,1.323924939,37,19,,,,,,,,,,,,,,,
서울특별시,서초구,2000,397869,-3081,-0.768424991,31,20,,,,,,,,,,,,,,,
서울특별시,강남구,2000,550343,-1950,-0.353073459,47,30,,,,,,,,,,,,,,,
서울특별시,송파구,2000,663177,-2741,-0.411612241,76,33,,,,,,,,,,,,,,,
서울특별시,강동구,2000,496549,6029,1.229103808,53,24,,,,,,,,,,,,,,,
부산광역시,중구,2000,58193,-985,-58.73129565,4,5,,,,,,,,,,,,,,,
부산광역시,서구,2000,154753,-3753,-67.20438425,15,10,,,,,,,,,,,,,,,
부산광역시,동구,2000,127138,-3487,-32.44239925,11,9,,,,,,,,,,,,,,,
부산광역시,영도구,2000,184488,-3888,-2.063957192,18,15,,,,,,,,,,,,,,,
부산광역시,부산진구,2000,430373,-3659,-0.843025399,46,32,,,,,,,,,,,,,,,
부산광역시,동래구,2000,300081,-1226,-0.406893965,39,20,,,,,,,,,,,,,,,
부산광역시,남구,2000,299518,444,-8.14190992,24,17,,,,,,,,,,,,,,,
부산광역시,북구,2000,307238,556,158.2591519,26,18,,,,,,,,,,,,,,,
부산광역시,해운대구,2000,408842,1351,0.331541065,38,24,,,,,,,,,,,,,,,
부산광역시,사하구,2000,388020,-1550,-0.39787458,44,24,,,,,,,,,,,,,,,
부산광역시,금정구,2000,292187,-2373,-0.805608365,30,19,,,,,,,,,,,,,,,
부산광역시,강서구,2000,62137,-2131,-88.07879808,19,16,,,,,,,,,,,,,,,
부산광역시,연제구,2000,223344,-3510,-1.547250655,24,15,,,,,,,,,,,,,,,
부산광역시,수영구,2000,184743,-1737,-0.931467181,26,10,,,,,,,,,,,,,,,
부산광역시,사상구,2000,301127,4985,1.683314086,30,20,,,,,,,,,,,,,,,
부산광역시,기장군,2000,74324,199,0.26846543,19,13,,,,,,,,,,,,,,,
대구광역시,중구,2000,91880,-3618,57.88840582,14,10,,,,,,,,,,,,,,,
대구광역시,동구,2000,338052,-2597,165.8937532,33,24,,,,,,,,,,,,,,,
대구광역시,서구,2000,286197,-6815,84.93793335,21,17,,,,,,,,,,,,,,,
대구광역시,남구,2000,196286,-5147,-34.46604211,18,11,,,,,,,,,,,,,,,
대구광역시,북구,2000,409353,5300,33.23644862,48,28,,,,,,,,,,,,,,,
대구광역시,수성구,2000,459658,-827,-0.179593255,37,29,,,,,,,,,,,,,,,
대구광역시,달서구,2000,588546,20831,3.669270673,68,41,,,,,,,,,,,,,,,
대구광역시,달성군,2000,154281,11416,7.990760508,23,18,,,,,,,,,,,,,,,
인천광역시,중구,2000,71522,-846,-22.15716152,13,9,,,,,,,,,,,,,,,
인천광역시,동구,2000,76057,-3707,-77.50139032,10,8,,,,,,,,,,,,,,,
인천광역시,남구,2000,420348,2192,114.15078,40,21,,,,,,,,,,,,,,,
인천광역시,연수구,2000,262319,1117,0.427638379,32,15,,,,,,,,,,,,,,,
인천광역시,남동구,2000,407845,10383,2.612325203,48,22,,,,,,,,,,,,,,,
인천광역시,부평구,2000,546520,18181,3.44116183,65,33,,,,,,,,,,,,,,,
인천광역시,계양구,2000,337077,4841,1.457096763,41,17,,,,,,,,,,,,,,,
인천광역시,서구,2000,342973,5394,19.83808356,41,20,,,,,,,,,,,,,,,
