연도,행정구역,학령인구(명)
2021,강원특별자치도 강릉시,31114.0
2022,강원특별자치도 강릉시,29880.0
2023,강원특별자치도 강릉시,28583.0
2024,강원특별자치도 강릉시,26953.0
2025,강원특별자치도 강릉시,25203.0
2026,강원특별자치도 강릉시,25265.0
2027,강원특별자치도 강릉시,25229.0
2028,강원특별자치도 강릉시,25299.0
2029,강원특별자치도 강릉시,25249.0
2030,강원특별자치도 강릉시,25313.0
2021,강원특별자치도 고성군,3952.0
2022,강원특별자치도 고성군,3800.0
2023,강원특별자치도 고성군,3651.0
2024,강원특별자치도 고성군,3590.0
2025,강원특별자치도 고성군,3570.0
2026,강원특별자치도 고성군,3570.0
2027,강원특별자치도 고성군,3543.0
2028,강원특별자치도 고성군,3534.0
2029,강원특별자치도 고성군,3522.0
2030,강원특별자치도 고성군,3515.0
2021,강원특별자치도 동해시,13655.0
2022,강원특별자치도 동해시,13316.0
2023,강원특별자치도 동해시,12682.0
2024,강원특별자치도 동해시,12249.0
2025,강원특별자치도 동해시,12108.0
2026,강원특별자치도 동해시,12318.0
2027,강원특별자치도 동해시,12309.0
2028,강원특별자치도 동해시,12350.0
2029,강원특별자치도 동해시,12356.0
2030,강원특별자치도 동해시,12381.0
2021,강원특별자치도 삼척시,10220.0
2022,강원특별자치도 삼척시,9611.0
2023,강원특별자치도 삼척시,8844.0
2024,강원특별자치도 삼척시,8404.0
2025,강원특별자치도 삼척시,8081.0
2026,강원특별자치도 삼척시,7971.0
2027,강원특별자치도 삼척시,7892.0
2028,강원특별자치도 삼척시,7826.0
2029,강원특별자치도 삼척시,7777.0
2030,강원특별자치도 삼척시,7736.0
2021,강원특별자치도 속초시,11875.0
2022,강원특별자치도 속초시,11478.0
2023,강원특별자치도 속초시,11121.0
2024,강원특별자치도 속초시,10659.0
2025,강원특별자치도 속초시,10373.0
2026,강원특별자치도 속초시,10254.0
2027,강원특별자치도 속초시,10162.0
2028,강원특별자치도 속초시,10087.0
2029,강원특별자치도 속초시,10030.0
2030,강원특별자치도 속초시,9988.0
2021,강원특별자치도 양구군,3870.0
2022,강원특별자치도 양구군,3686.0
2023,강원특별자치도 양구군,3573.0
2024,강원특별자치도 양구군,3413.0
2025,강원특별자치도 양구군,3360.0
2026,강원특별자치도 양구군,3324.0
2027,강원특별자치도 양구군,3274.0
2028,강원특별자치도 양구군,3234.0
2029,강원특별자치도 양구군,3202.0
2030,강원특별자치도 양구군,3176.0
2021,강원특별자치도 양양군,4082.0
2022,강원특별자치도 양양군,3956.0
2023,강원특별자치도 양양군,3827.0
2024,강원특별자치도 양양군,3672.0
2025,강원특별자치도 양양군,3532.0
2026,강원특별자치도 양양군,3457.0
2027,강원특별자치도 양양군,3378.0
2028,강원특별자치도 양양군,3303.0
2029,강원특별자치도 양양군,3226.0
2030,강원특별자치도 양양군,3152.0
2021,강원특별자치도 영월군,5240.0
2022,강원특별자치도 영월군,5027.0
2023,강원특별자치도 영월군,4704.0
2024,강원특별자치도 영월군,4215.0
2025,강원특별자치도 영월군,3921.0
2026,강원특별자치도 영월군,3791.0
2027,강원특별자치도 영월군,3673.0
2028,강원특별자치도 영월군,3555.0
2029,강원특별자치도 영월군,3442.0
2030,강원특별자치도 영월군,3333.0
2021,강원특별자치도 원주시,59004.0
2022,강원특별자치도 원주시,57411.0
2023,강원특별자치도 원주시,55600.0
2024,강원특별자치도 원주시,53074.0
2025,강원특별자치도 원주시,50086.0
2026,강원특별자치도 원주시,48866.0
2027,강원특별자치도 원주시,47715.0
2028,강원특별자치도 원주시,46695.0
2029,강원특별자치도 원주시,45756.0
2030,강원특별자치도 원주시,44880.0
2021,강원특별자치도 인제군,5137.0
2022,강원특별자치도 인제군,5069.0
2023,강원특별자치도 인제군,4942.0
2024,강원특별자치도 인제군,4823.0
2025,강원특별자치도 인제군,4780.0
2026,강원특별자치도 인제군,4833.0
2027,강원특별자치도 인제군,4791.0
2028,강원특별자치도 인제군,4765.0
2029,강원특별자치도 인제군,4730.0
2030,강원특별자치도 인제군,4710.0
2021,강원특별자치도 정선군,5625.0
2022,강원특별자치도 정선군,5543.0
2023,강원특별자치도 정선군,5207.0
2024,강원특별자치도 정선군,4963.0
2025,강원특별자치도 정선군,4718.0
2026,강원특별자치도 정선군,4621.0
2027,강원특별자치도 정선군,4499.0
2028,강원특별자치도 정선군,4382.0
2029,강원특별자치도 정선군,4259.0
2030,강원특별자치도 정선군,4141.0
2021,강원특별자치도 철원군,7504.0
2022,강원특별자치도 철원군,7220.0
2023,강원특별자치도 철원군,6949.0
2024,강원특별자치도 철원군,6596.0
2025,강원특별자치도 철원군,6370.0
2026,강원특별자치도 철원군,6169.0
2027,강원특별자치도 철원군,5971.0
2028,강원특별자치도 철원군,5776.0
2029,강원특별자치도 철원군,5585.0
2030,강원특별자치도 철원군,5390.0
2021,강원특별자치도 춘천시,44995.0
2022,강원특별자치도 춘천시,43711.0
2023,강원특별자치도 춘천시,42108.0
2024,강원특별자치도 춘천시,39684.0
2025,강원특별자치도 춘천시,36941.0
2026,강원특별자치도 춘천시,35078.0
2027,강원특별자치도 춘천시,33540.0
2028,강원특별자치도 춘천시,32346.0
2029,강원특별자치도 춘천시,31342.0
2030,강원특별자치도 춘천시,30569.0
2021,강원특별자치도 태백시,6695.0
2022,강원특별자치도 태백시,6295.0
2023,강원특별자치도 태백시,5848.0
2024,강원특별자치도 태백시,5281.0
2025,강원특별자치도 태백시,4943.0
2026,강원특별자치도 태백시,4793.0
2027,강원특별자치도 태백시,4610.0
2028,강원특별자치도 태백시,4422.0
2029,강원특별자치도 태백시,4227.0
2030,강원특별자치도 태백시,4019.0
2021,강원특별자치도 평창군,6711.0
2022,강원특별자치도 평창군,6351.0
2023,강원특별자치도 평창군,5949.0
2024,강원특별자치도 평창군,5530.0
2025,강원특별자치도 평창군,5236.0
2026,강원특별자치도 평창군,5140.0
2027,강원특별자치도 평창군,5008.0
2028,강원특별자치도 평창군,4899.0
2029,강원특별자치도 평창군,4769.0
2030,강원특별자치도 평창군,4658.0
2021,강원특별자치도 홍천군,10515.0
2022,강원특별자치도 홍천군,9968.0
2023,강원특별자치도 홍천군,9443.0
2024,강원특별자치도 홍천군,9044.0
2025,강원특별자치도 홍천군,8545.0
2026,강원특별자치도 홍천군,8338.0
2027,강원특별자치도 홍천군,8039.0
2028,강원특별자치도 홍천군,7839.0
2029,강원특별자치도 홍천군,7559.0
2030,강원특별자치도 홍천군,7375.0
2021,강원특별자치도 화천군,4403.0
2022,강원특별자치도 화천군,4314.0
2023,강원특별자치도 화천군,4089.0
2024,강원특별자치도 화천군,3944.0
2025,강원특별자치도 화천군,3859.0
2026,강원특별자치도 화천군,3843.0
2027,강원특별자치도 화천군,3801.0
2028,강원특별자치도 화천군,3781.0
2029,강원특별자치도 화천군,3754.0
2030,강원특별자치도 화천군,3736.0
2021,강원특별자치도 횡성군,6449.0
2022,강원특별자치도 횡성군,6214.0
2023,강원특별자치도 횡성군,5969.0
2024,강원특별자치도 횡성군,5623.0
2025,강원특별자치도 횡성군,5404.0
2026,강원특별자치도 횡성군,5301.0
2027,강원특별자치도 횡성군,5241.0
2028,강원특별자치도 횡성군,5171.0
2029,강원특별자치도 횡성군,5113.0
2030,강원특별자치도 횡성군,5060.0
2021,경기도 가평군,7788.0
2022,경기도 가평군,7417.0
2023,경기도 가평군,7120.0
2024,경기도 가평군,6667.0
2025,경기도 가평군,6177.0
2026,경기도 가평군,6126.0
2027,경기도 가평군,5961.0
2028,경기도 가평군,5885.0
2029,경기도 가평군,5728.0
2030,경기도 가평군,5676.0
2021,경기도 고양시,165255.0
2022,경기도 고양시,161405.0
2023,경기도 고양시,152031.0
2024,경기도 고양시,141925.0
2025,경기도 고양시,134522.0
2026,경기도 고양시,128451.0
2027,경기도 고양시,123977.0
2028,경기도 고양시,118248.0
2029,경기도 고양시,112581.0
2030,경기도 고양시,106944.0
2021,경기도 과천시,7756.0
2022,경기도 과천시,8249.0
2023,경기도 과천시,9033.0
2024,경기도 과천시,9643.0
2025,경기도 과천시,9857.0
2026,경기도 과천시,9898.0
2027,경기도 과천시,9899.0
2028,경기도 과천시,9900.0
2029,경기도 과천시,9899.0
2030,경기도 과천시,9897.0
2021,경기도 광명시,50136.0
2022,경기도 광명시,47403.0
2023,경기도 광명시,44725.0
2024,경기도 광명시,42822.0
2025,경기도 광명시,41608.0
2026,경기도 광명시,41209.0
2027,경기도 광명시,40794.0
2028,경기도 광명시,40398.0
2029,경기도 광명시,40014.0
2030,경기도 광명시,39673.0
2021,경기도 광주시,57180.0
2022,경기도 광주시,57583.0
2023,경기도 광주시,57068.0
2024,경기도 광주시,55726.0
2025,경기도 광주시,54254.0
2026,경기도 광주시,53317.0
2027,경기도 광주시,52282.0
2028,경기도 광주시,51263.0
2029,경기도 광주시,50239.0
2030,경기도 광주시,49259.0
2021,경기도 구리시,30620.0
2022,경기도 구리시,29022.0
2023,경기도 구리시,27294.0
2024,경기도 구리시,25808.0
2025,경기도 구리시,24939.0
2026,경기도 구리시,24720.0
2027,경기도 구리시,24682.0
2028,경기도 구리시,24469.0
2029,경기도 구리시,24444.0
2030,경기도 구리시,24213.0
2021,경기도 군포시,44473.0
2022,경기도 군포시,42611.0
2023,경기도 군포시,40320.0
2024,경기도 군포시,38216.0
2025,경기도 군포시,36274.0
2026,경기도 군포시,35725.0
2027,경기도 군포시,35201.0
2028,경기도 군포시,34707.0
2029,경기도 군포시,34207.0
2030,경기도 군포시,33760.0
2021,경기도 김포시,78685.0
2022,경기도 김포시,82572.0
2023,경기도 김포시,83934.0
2024,경기도 김포시,83386.0
2025,경기도 김포시,82585.0
2026,경기도 김포시,83994.0
2027,경기도 김포시,85466.0
2028,경기도 김포시,86964.0
2029,경기도 김포시,88492.0
2030,경기도 김포시,90248.0
2021,경기도 남양주시,122615.0
2022,경기도 남양주시,123692.0
2023,경기도 남양주시,121522.0
2024,경기도 남양주시,116339.0
2025,경기도 남양주시,111134.0
2026,경기도 남양주시,106465.0
2027,경기도 남양주시,102323.0
2028,경기도 남양주시,99113.0
2029,경기도 남양주시,96670.0
2030,경기도 남양주시,94827.0
2021,경기도 동두천시,12848.0
2022,경기도 동두천시,12343.0
2023,경기도 동두천시,11551.0
2024,경기도 동두천시,10403.0
2025,경기도 동두천시,9389.0
2026,경기도 동두천시,8772.0
2027,경기도 동두천시,8341.0
2028,경기도 동두천시,8041.0
2029,경기도 동두천시,7809.0
2030,경기도 동두천시,7632.0
2021,경기도 부천시,113903.0
2022,경기도 부천시,108645.0
2023,경기도 부천시,101614.0
2024,경기도 부천시,93188.0
2025,경기도 부천시,84433.0
2026,경기도 부천시,78315.0
2027,경기도 부천시,73444.0
2028,경기도 부천시,69020.0
2029,경기도 부천시,65495.0
2030,경기도 부천시,62610.0
2021,경기도 성남시,135969.0
2022,경기도 성남시,132631.0
2023,경기도 성남시,127795.0
2024,경기도 성남시,120279.0
2025,경기도 성남시,113706.0
2026,경기도 성남시,109070.0
2027,경기도 성남시,105085.0
2028,경기도 성남시,102175.0
2029,경기도 성남시,100007.0
2030,경기도 성남시,98286.0
2021,경기도 수원시,191669.0
2022,경기도 수원시,186151.0
2023,경기도 수원시,178253.0
2024,경기도 수원시,169118.0
2025,경기도 수원시,160688.0
2026,경기도 수원시,154884.0
2027,경기도 수원시,150996.0
2028,경기도 수원시,148151.0
2029,경기도 수원시,145977.0
2030,경기도 수원시,143839.0
2021,경기도 시흥시,86989.0
2022,경기도 시흥시,87729.0
2023,경기도 시흥시,86432.0
2024,경기도 시흥시,84381.0
2025,경기도 시흥시,81282.0
2026,경기도 시흥시,78712.0
2027,경기도 시흥시,76281.0
2028,경기도 시흥시,73961.0
2029,경기도 시흥시,71776.0
2030,경기도 시흥시,69781.0
2021,경기도 안산시,105498.0
2022,경기도 안산시,101112.0
2023,경기도 안산시,95695.0
2024,경기도 안산시,90359.0
2025,경기도 안산시,86349.0
2026,경기도 안산시,84648.0
2027,경기도 안산시,83140.0
2028,경기도 안산시,81566.0
2029,경기도 안산시,80146.0
2030,경기도 안산시,78684.0
2021,경기도 안성시,30225.0
2022,경기도 안성시,29457.0
2023,경기도 안성시,28208.0
2024,경기도 안성시,26928.0
2025,경기도 안성시,25714.0
2026,경기도 안성시,24865.0
2027,경기도 안성시,24294.0
2028,경기도 안성시,23899.0
2029,경기도 안성시,23623.0
2030,경기도 안성시,23432.0
2021,경기도 안양시,85061.0
2022,경기도 안양시,81728.0
2023,경기도 안양시,78072.0
2024,경기도 안양시,74001.0
2025,경기도 안양시,70271.0
2026,경기도 안양시,67598.0
2027,경기도 안양시,65487.0
2028,경기도 안양시,63870.0
2029,경기도 안양시,62538.0
2030,경기도 안양시,61456.0
2021,경기도 양주시,33583.0
2022,경기도 양주시,33411.0
2023,경기도 양주시,31163.0
2024,경기도 양주시,24878.0
2025,경기도 양주시,16989.0
